Metabolite,HMDB Name,Shift (ppm),Hs,Type,J (Hz),Height,Physiological Charge,SMILES,InChlKey,pKa (Strongest Acidic),pKa (Strongest Basic),Blood,Urine,Feces,Saliva,Cerebrospinal Fluid (CSF),Amniotic Fluid,Aqueous Humour,Ascites Fluid,Breast Milk,Lymph,Sweat,Tears
Lathosterol,HMDB01170,0.545,2,s,NA,0.068,0,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=IZVFFXVYBHFIHY-SKCNUYALSA-N,1.57,-2.4,3.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tetrahydrocortisone,HMDB00903,0.545,3,s,NA,0.0239,0,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=SYGWGHVTLUBCEM-SDYDLROXSA-N,15.56,10.9,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vitamin D3,HMDB00876,0.555,2,s,NA,0.2177,0,CC(C)CCC[C@@H](C)[C@H]1CCC2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,InChIKey=QYSXJUFSXHHAJI-QWSSABAFSA-N,1.1,-3.6,0.03705,NaN,NaN,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ergocalciferol,HMDB00900,0.565,3,s,NA,0.0972,0,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,InChIKey=MECHNRXZTMCUDQ-RKHKHRCZSA-N,3.25,-6.3,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11a-Hydroxyprogesterone,HMDB00920,0.575,1,m,NA,0.0737,0,[H][C@@]12CCC(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=BFZHCUBIASXHPK-ODYOLWGQSA-N,16.38,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taurocholic acid,HMDB00036,0.595,3,s,NA,0.9685,-1,[H][C@@]12C[C@H](O)CCC1(C)C1C[C@H](O)C3(C)C(CCC3C1[C@H](O)C2)C(C)CCC(=O)NCCS(O)(=O)=O,InChIKey=WBWWGRHZICKQGZ-BKXUXKPJSA-N,19.03,-2.8,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3a.6a.7b-Trihydroxy-5b-cholanoic acid,HMDB00364,0.625,3,m,NA,0.7775,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=DKPMWHFRUGMUKF-NTPBNISXSA-N,1.08,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulfolithocholic acid,HMDB00907,0.625,3,s,NA,0.7075,-2,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](CC[C@]12C)OS(O)(=O)=O,InChIKey=AXDXVEYHEODSPN-YPLGJCPNSA-N,0.45,9.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11a-Hydroxyprogesterone,HMDB00920,0.635,2,s,NA,0.7769,0,[H][C@@]12CCC(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=BFZHCUBIASXHPK-ODYOLWGQSA-N,16.38,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a.6b.7b-Trihydroxy-5b-cholanoic acid,HMDB00415,0.635,3,m,NA,0.8005,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=DKPMWHFRUGMUKF-CRKPLTDNSA-N,3.85,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3b-Hydroxy-5-cholenoic acid,HMDB00308,0.635,5,s,NA,0.9005,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=HIAJCGFYHIANNA-QIZZZRFXSA-N,10.29,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pregnenolone sulfate,HMDB00774,0.645,3,s,NA,0.1069,-1,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(CC[C@]12C)OS(O)(=O)=O,InChIKey=DIJBBUIOWGGQOP-OZIWPBGVSA-N,-0.99,5.01,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7-Dehydrocholesterol,HMDB00032,0.645,1,s,NA,0.4599,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C,InChIKey=UCTLRSWJYQTBFZ-DDPQNLDTSA-N,11.25,4.99,5,0.029,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5a-Androstane-3b.17b-diol,HMDB00493,0.645,1,m,NA,0.0576,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=CBMYJHIOYJEBSB-YSZCXEEOSA-N,1.47,-3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lithocholic acid,HMDB00761,0.665,3,s,NA,0.6178,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C,InChIKey=SMEROWZSTRWXGI-YPLGJCPNSA-N,1.77,-1.8,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cholesterol sulfate,HMDB00653,0.665,3,s,NA,0.9761,-1,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,InChIKey=BHYOQNUELFTYRT-DPAQBDIFSA-N,1.22,-1.3,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-Epiestriol,HMDB00356,0.665,3,s,NA,0.9903,0,C[C@]12CCC3C(CCC4=C3C=CC(O)=C4)C1C[C@@H](O)[C@H]2O,InChIKey=PROQIPRRNZUXQM-MAHASAQBSA-N,4.09,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5beta-Coprostanol,HMDB00577,0.665,3,s,NA,0.2045,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-NWKZBHTNSA-N,4.42,-7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Estriol,HMDB00153,0.675,3,s,NA,1,0,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,InChIKey=PROQIPRRNZUXQM-ZXXIGWHRSA-N,2.84,5.54,0.006,NaN,NaN,NaN,NaN,0.0023,NaN,NaN,NaN,NaN,NaN,NaN
5alpha-Cholestanol,HMDB00908,0.675,2,s,NA,0.9739,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-QCYZZNICSA-N,4.05,-3,9.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Hydroxyestradiol,HMDB00338,0.675,3,s,NA,0.81,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3,InChIKey=DILDHNKDVHLEQB-XSSYPUMDSA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Estradiol,HMDB00151,0.675,3,s,NA,0.8037,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,InChIKey=VOXZDWNPVJITMN-ZBRFXRBCSA-N,1.86,-6.7,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chenodeoxycholic acid,HMDB00518,0.678,3,s,NA,0.9169,-1,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,InChIKey=RUDATBOHQWOJDD-BSWAIDMHSA-N,2.15,-4.1,1.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Methoxyestradiol,HMDB00405,0.685,3,s,NA,0.6768,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,InChIKey=CQOQDQWUFQDJMK-SSTWWWIQSA-N,4.02,-1.4,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epi-coprostanol,HMDB01569,0.685,13,m,NA,0.3104,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nutriacholic acid,HMDB00467,0.685,3,s,NA,0.8713,-1,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=DXOCDBGWDZAYRQ-QPVZPPSOSA-N,3.78,-0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progesterone,HMDB01830,0.695,3,s,NA,0.7362,0,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=RJKFOVLPORLFTN-LEKSSAKUSA-N,11.17,-6.2,0.0025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Campesterol,HMDB02869,0.695,3,br. s.,NA,0.091,0,[H][C@@]12CC[C@H]([C@H](C)CC[C@H](C)C(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=SGNBVLSWZMBQTH-ZRUUVFCLSA-N,1.87,8,8.346666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beta-Sitosterol,HMDB00852,0.695,3,s,NA,0.0498,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,InChIKey=KZJWDPNRJALLNS-VJSFXXLFSA-N,-33,-2,9.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cholesterol,HMDB00067,0.695,6,s,NA,0.9508,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(O)CC[C@]12C,InChIKey=HVYWMOMLDIMFJA-FNOPAARDSA-N,3.17,-0.54,3567.92,NaN,NaN,NA,6.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-alpha.20-alpha-Dihydroxypregn-4-en-3-one,HMDB11653,0.695,3,s,NA,0.9146,0,[H][C@@]12CC[C@](O)([C@H](C)O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MASCESDECGBIBB-HNXXTFFGSA-N,1.86,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uvaol,HMDB02391,0.695,4,br. s.,NA,0.6115,0,[H][C@@]12[C@@H](C)[C@H](C)CC[C@]1(CO)CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C,InChIKey=XUARCIYIVXVTAE-ZAPOICBTSA-N,13.56,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE(16:1(9Z)),HMDB00658,0.695,3,s,NA,0.2702,0,CCCCCC\C=C/CCCCCCCC(=O)OC1CC[C@@]2(C)C(=CCC3C4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CCC23)C1,InChIKey=HODJWNWCVNUPAQ-FSAOOAOSSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycholic acid glycine conjugate,HMDB00631,0.695,3,s,NA,0.9772,-1,[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2,InChIKey=WVULKSPCQVQLCU-ZMBDPXIHSA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oleanolic acid,HMDB02364,0.695,8,m,NA,0.4123,-1,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,InChIKey=MIJYXULNPSFWEK-GTOFXWBISA-N,3.81,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taurodeoxycholic acid,HMDB00896,0.695,3,s,NA,0.9902,-1,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,InChIKey=AWDRATDZQPNJFN-VAYUFCLWSA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7-Ketocholesterol,HMDB00501,0.705,6,s,NA,0.9373,0,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,InChIKey=YIKKMWSQVKJCOP-QJFKPLHKSA-N,4.65,-6.7,0.056333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CE(16:0),HMDB00885,0.705,2,s,NA,0.1655,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C,InChIKey=BBJQPKLGPMQWBU-JADYGXMDSA-N,1.87,10,297.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5alpha-Cholestanone,HMDB00871,0.705,2,s,NA,0.8661,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=PESKGJQREUXSRR-UXIWKSIVSA-N,1.78,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-Hydroxyprogesterone,HMDB00374,0.705,9,s,NA,0.6165,0,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=DBPWSSGDRRHUNT-CEGNMAFCSA-N,7.36,-1.4,NaN,0.0013,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CE(18:2(9Z.12Z)),HMDB00610,0.705,3,s,NA,0.9108,0,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1,InChIKey=NAACPBBQTFFYQB-LJAITQKLSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glycyrrhetinic acid,HMDB11628,0.705,3,s,NA,1,-1,CC1(C)[C@@H](O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O,InChIKey=MPDGHEJMBKOTSU-WFJWTYAKSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hyodeoxycholic acid,HMDB00733,0.705,3,s,NA,0.9874,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C,InChIKey=DGABKXLVXPYZII-CDONHWFASA-N,5.01,-3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glycocholic acid,HMDB00138,0.715,2,s,NA,0.6954,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C,InChIKey=RFDAIACWWDREDC-MZMBZMQMSA-N,4.55,8.85,0.06,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycholic acid,HMDB00626,0.715,3,m,NA,0.6891,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=KXGVEGMKQFWNSR-LLQZFEROSA-N,4.73,-2,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycorticosterone,HMDB00016,0.715,3,s,NA,0.916,0,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N,-1.9,-2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epiandrosterone,HMDB00365,0.715,1,m,NA,0.0558,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-QRIARFFBSA-N,9.61,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glycyrrhetinic acid,HMDB11628,0.715,1,br. s.,NA,0.0937,-1,CC1(C)[C@@H](O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O,InChIKey=MPDGHEJMBKOTSU-WFJWTYAKSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stigmasterol,HMDB00937,0.725,1,s,NA,0.6761,0,CC[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,InChIKey=HCXVJBMSMIARIN-PHZDYDNGSA-N,16.3,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5a-Androstane-3b.17b-diol,HMDB00493,0.735,3,s,NA,0.641,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=CBMYJHIOYJEBSB-YSZCXEEOSA-N,1.47,-3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cholestenone,HMDB00921,0.735,2,s,NA,0.8554,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=NYOXRYYXRWJDKP-GYKMGIIDSA-N,0.83,7.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5alpha-Cholestanone,HMDB00871,0.745,1,td,NA,0.0817,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=PESKGJQREUXSRR-UXIWKSIVSA-N,1.78,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenzyme A,HMDB01423,0.745,3,s,NA,1,-4,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,InChIKey=RGJOEKWQDUBAIZ-DRCCLKDXSA-N,16.92,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16b-Hydroxyestradiol,HMDB00347,0.745,3,s,NA,1,0,[H][C@@]12C[C@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,InChIKey=PROQIPRRNZUXQM-ZMSHIADSSA-N,11.47,-3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
